Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[BraveCat@116];[0.9999990551242605];[0.9999990551242605];[0.0];[0.0];[0.9999990551242605];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[DoNA@117];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,011;2;;60rounds;Yes;No;1;1;1;0;0;1;[Flinch@119];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;0,7266;0,7266;0,2734;0,2734;0,7266;[Gangster@120];[0.7266005777901978];[0.7266005777901978];[0.0];[0.0];[0.7266005777901978];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,92748;0,92748;0,07252;0,07252;0,92748;[Simpatico@122];[0.927479035517876];[0.927479035517876];[0.0];[0.0];[0.927479035517876];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,667;0,667;0,333;0,333;0,667;[Sobut@123];[0.6670021945010586];[0.6670021945010586];[0.0];[0.0];[0.6670021945010586];[Jobs_util8.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[SimilarityAgent@125];[0.9999990551242605];[0.9999990551242605];[0.0];[0.0];[0.9999990551242605];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[TimeDependentAgentBoulware@127];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;0,89666;0,89666;0,10334;0,10334;0,89666;[TimeDependentAgentConceder@128];[0.8966596329328552];[0.8966596329328552];[0.0];[0.0];[0.8966596329328552];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[TimeDependentAgentHardliner@129];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;0,97294;0,97294;0,02706;0,02706;0,97294;[TimeDependentAgentLinear@130];[0.9729429243785584];[0.9729429243785584];[0.0];[0.0];[0.9729429243785584];[Jobs_util8.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[ImmediateAcceptor@131];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[FunctionalAcceptor@133];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[BayesianAgent@134];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util8.xml]
0,001;2;;60rounds;Yes;No;1;0,97294;0,97294;0,02706;0,02706;0,97294;[ABMPAgent2@135];[0.9729419795028188];[0.9729419795028188];[0.0];[0.0];[0.9729419795028188];[Jobs_util8.xml]
