sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,000;2;;60rounds;Yes;No;1;0,99693;0,99693;0,00307;0,00307;0,99693;[SYAgent@457];[0.9969291251952399];[0.9969291251952399];[0.9969291251952399];[0.0];[0.9969291251952399];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,99855;0,99855;0,00145;0,00145;0,99855;[Terra@458];[0.9985504140275707];[0.9985504140275707];[0.9985504140275707];[0.0];[0.9985504140275707];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,84045;0,84045;0,15955;0,15955;0,84045;[YXAgent@459];[0.8404528081850782];[0.8404528081850782];[0.8404528081850782];[0.0];[0.8404528081850782];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,00478;0,00478;0,99522;0,99522;0,00478;[AgentSmith2016@460];[0.004784690490043489];[0.004784690490043489];[0.004784690490043489];[0.0];[0.004784690490043489];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[PhoenixParty@461];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[CUHKAgent2015@462];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[ParsAgent@463];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AresParty@464];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[Mercury@465];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,99788;0,99788;0,00212;0,00212;0,99788;[Atlas3@466];[0.9978771216601797];[0.9978771216601797];[0.9978771216601797];[0.0];[0.9978771216601797];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,36131;0,36131;0,63869;0,63869;0,36131;[AgentH@467];[0.36131110104970743];[0.36131110104970743];[0.36131110104970743];[0.0];[0.36131110104970743];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;0,99693;0,99693;0,00307;0,00307;0,99693;[SENGOKU@468];[0.9969291251952399];[0.9969291251952399];[0.9969291251952399];[0.0];[0.9969291251952399];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[AgentW@469];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;0,81869;0,81869;0,18131;0,18131;0,81869;[AgentX@470];[0.8186898666482165];[0.8186898666482165];[0.8186898666482165];[0.0];[0.8186898666482165];[Jobs_util2.xml]
0,000;2;;60rounds;Yes;No;1;1,00000;1,00000;0,00000;0,00000;1,00000;[DrageKnight@471];[1.0];[1.0];[1.0];[0.0];[1.0];[Jobs_util2.xml]
