Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Perceived. Util.;User Bother;User Util.;Profile
0,003;2;;60rounds;Yes;No;1;1;1;0;0;1;[ValueModelAgent@85];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[Gahboninho@86];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[BRAMAgent@87];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[KLH@88];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[NiceTitForTat@89];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[IAMhaggler2011@90];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;0,99698;0,99698;0,00302;0,00302;0,99698;[Agent_K2@91];[0.9969784764777416];[0.9969784764777416];[0.0];[0.0];[0.9969784764777416];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentLG@92];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentMR@93];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[TheNegotiatorReloaded@94];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[BRAMAgent2@95];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[CUHKAgent@96];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[IAMhaggler2012@97];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[MetaAgent@98];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,002;2;;60rounds;Yes;No;1;1;1;0;0;1;[OMACagent@99];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[InoxAgent@100];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0;2;;60rounds;Yes;No;1;1;1;0;0;1;[TheFawkes@101];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,004;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentKF@102];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[AgentI@103];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[MetaAgent2013@104];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,008;2;;60rounds;Yes;No;1;1;1;0;0;1;[SlavaAgent@105];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
0,001;2;;60rounds;Yes;No;1;1;1;0;0;1;[TMFAgent@106];[1.0];[1.0];[0.0];[0.0];[1.0];[Jobs_util2.xml]
